I (mA),delta I,Pnoatt [muW],delta Pnoatt,Patt [muW],delta Patt
0,0.5,0,0.01,,
5,0.5,1.4,0.01,,
10,0.5,3,0.01,,
15,0.5,5.1,0.01,,
20,0.5,7.3,0.01,,
25,0.5,9.6,0.01,,
30,0.5,12.2,0.1,,
35,0.5,15.6,0.1,,
40,0.5,18.6,0.1,,
45,0.5,22.7,0.1,,
50,0.5,28.2,0.1,0.03,0.01
55,0.5,235,20,0.04,0.01
60,0.5,3130,20,3.2,0.01
65,0.5,5650,20,5.8,0.01
70,0.5,9120,20,8.93,0.01
75,0.5,12900,100,12.6,0.1
80,0.5,16200,100,15.7,0.1
85,0.5,19000,100,18.1,0.1
90,0.5,,,21.6,0.1
95,0.5,,,24.9,0.1
100,0.5,,,27.9,0.1
105,0.5,,,30.7,0.1
110,0.5,,,33.8,0.1
115,0.5,,,36.3,0.1
120,0.5, ,,40.4,0.1
125,0.5,,,43.6,0.1
130,0.5,,,46.8,0.1
135,0.5,,,49.5,0.1
140,0.5,,,52.8,0.1
145,0.5,,,55.9,0.1
150,0.5,,,59.8,0.1
155,0.5,,,62.9,0.1
160,0.5,,,64.7,0.1
165,0.5,,,68.1,0.1
170,0.5,,,70.8,0.1
175,0.5,,,74.3,0.1
180,0.5,,,76.4,0.1
185,0.5,,,80.3,0.1
190,0.5,,,84.2,0.1
195,0.5,,,86,0.1
200,0.5,,,89.4,0.1
205,0.5,,,93.1,0.1
210,0.5,,,98.6,0.1
215,0.5,,,98,0.1
220,0.5,,,100,0.1
225,0.5,,,106,0.5
230,0.5,,,109,0.5
235,0.5,,,109,0.5
240,0.5,,,114,0.5
245,0.5,,,117,0.5
250,0.5,,,120,0.5
255,0.5,,,121,0.5
260,0.5,,,125,0.5
265,0.5,,,132,0.5
270,0.5,,,134,0.5
275,0.5,,,134,0.5
280,0.5,,,141,0.5
