I (mA),delta I,Pnoatt [muW],delta Pnoatt,Patt [muW],delta Patt
0,0.5,0,0.01,0,0
5,0.5,1.4,0.01,0,0
10,0.5,3,0.01,0,0
15,0.5,5.1,0.01,0,0
20,0.5,7.3,0.01,0,0
25,0.5,9.6,0.01,0,0
30,0.5,12.2,0.1,0,0
35,0.5,15.6,0.1,0,0
40,0.5,18.6,0.1,0,0
45,0.5,22.7,0.1,0,0
50,0.5,28.2,0.1,0.03,0.01
55,0.5,235,20,0.04,0.01
60,0.5,3130,20,3.2,0.01
65,0.5,5650,20,5.8,0.01
70,0.5,9120,20,8.93,0.01
75,0.5,12900,100,12.6,0.1
80,0.5,16200,100,15.7,0.1
85,0.5,19000,100,18.1,0.1
90,0.5,21730,104,21.6,0.1
95,0.5,25048,106,24.9,0.1
100,0.5,28064,107,27.9,0.1
105,0.5,30879,108,30.7,0.1
110,0.5,33995,109,33.8,0.1
115,0.5,36508,111,36.3,0.1
120,0.5,40630,113,40.4,0.1
125,0.5,43847,115,43.6,0.1
130,0.5,47064,117,46.8,0.1
135,0.5,49778,119,49.5,0.1
140,0.5,53095,121,52.8,0.1
145,0.5,56212,123,55.9,0.1
150,0.5,60132,126,59.8,0.1
155,0.5,63249,128,62.9,0.1
160,0.5,65058,130,64.7,0.1
165,0.5,68476,133,68.1,0.1
170,0.5,71190,135,70.8,0.1
175,0.5,74709,138,74.3,0.1
180,0.5,76820,140,76.4,0.1
185,0.5,80740,143,80.3,0.1
190,0.5,84661,147,84.2,0.1
195,0.5,86470,148,86,0.1
200,0.5,89888,152,89.4,0.1
205,0.5,93608,155,93.1,0.1
210,0.5,99137,160,98.6,0.1
215,0.5,98534,160,98,0.1
220,0.5,100544,162,100,0.1
225,0.5,106576,520,106,0.5
230,0.5,109592,521,109,0.5
235,0.5,109592,521,109,0.5
240,0.5,114618,523,114,0.5
245,0.5,117634,524,117,0.5
250,0.5,120650,525,120,0.5
255,0.5,121655,526,121,0.5
260,0.5,125676,527,125,0.5
265,0.5,132713,530,132,0.5
270,0.5,134724,531,134,0.5
275,0.5,134724,531,134,0.5
280,0.5,141761,533,141,0.5
