theta,delta theta,P_sh [muW],delta P_sh,P_fund (muW),delta P_fund
0,0.5,5,0.1,46.6,0.5
2.5,1,7.1,0.1,58.4,0.5
5,0.5,10.8,0.1,70.9,0.5
7.5,1,14,0.1,80.5,0.5
10,0.5,18.3,0.1,91.8,0.5
12.5,1,21.8,0.1,101,0.5
15,0.5,26.6,0.1,109,0.5
17.5,1,30,0.1,117,0.5
20,0.5,33.9,0.1,123,0.5
22.5,1,35.4,0.1,127,0.5
25,0.5,36.6,0.1,129,0.5
27.5,1,36.6,0.1,130,0.5
30,0.5,35.6,0.1,128,0.5
32.5,1,33.3,0.1,124,0.5
35,0.5,30.2,0.1,119,0.5
37.5,1,26.8,0.1,112,0.5
40,0.5,22.8,0.1,104,0.5
42.5,1,18.7,0.1,95,0.5
45,0.5,14.5,0.1,84.1,0.5
47.5,1,11.2,0.1,72.6,0.5
50,0.5,8,0.1,60.7,0.5
52.5,1,5.3,0.1,50,0.5
55,0.5,3.1,0.1,39.3,0.5
57.5,1,1.9,0.1,29.2,0.5
60,0.5,0.9,0.1,19.8,0.5
62.5,1,0.3,0.1,12.6,0.5
65,0.5,0.1,0.1,6.6,0.5
67.5,1,0.06,0.1,3,0.5
70,0.5,0.03,0.1,0.6,0.5
72.5,1,0.03,0.1,0.4,0.5
75,0.5,0.04,0.1,2,0.5
77.5,1,0.1,0.1,5.7,0.5
80,0.5,0.3,0.1,10.8,0.5
82.5,1,0.7,0.1,18.1,0.5
85,0.5,1.6,0.1,27.3,0.5
87.5,1,2.7,0.1,36.2,0.5
90,0.5,4.8,0.1,47.7,0.5
92.5,1,7.2,0.1,56.6,0.5
95,0.5,10.4,0.1,69.4,0.5
97.5,1,13.8,0.1,80.5,0.5
100,0.5,17.8,0.1,92,0.5
102.5,1,21.4,0.1,101,0.5
105,0.5,25.4,0.1,109,0.5
107.5,1,29.1,0.1,117,0.5
110,0.5,32,0.1,123,0.5
112.5,1,34.4,0.1,127,0.5
115,0.5,35.5,0.1,130,0.5
117.5,1,35.8,0.1,130,0.5
120,0.5,34.8,0.1,129,0.5
122.5,1,32.6,0.1,126,0.5
125,0.5,22.2,0.1,120,0.5
127.5,1,19.6,0.1,112,0.5
130,0.5,16.9,0.1,103,0.5
132.5,1,14.4,0.1,95.5,0.5
135,0.5,11,0.1,84.8,0.5
137.5,1,8.1,0.1,74.5,0.5
140,0.5,5.9,0.1,61.4,0.5
142.5,1,3.9,0.1,49.8,0.5
145,0.5,2.3,0.1,40.1,0.5
147.5,1,1.3,0.1,30.7,0.5
150,0.5,0.6,0.1,21,0.5
152.5,1,0.4,0.1,13.6,0.5
155,0.5,0.1,0.1,7.3,0.5
157.5,1,0.05,0.1,3.1,0.5
160,0.5,0.03,0.1,1.2,0.5
162.5,1,0.03,0.1,0.7,0.5
165,0.5,0.04,0.1,2.6,0.5
167.5,1,0.08,0.1,5.9,0.5
170,0.5,0.2,0.1,11.6,0.5
172.5,1,0.6,0.1,18,0.5
175,0.5,1.1,0.1,26.7,0.5
177.5,1,2.1,0.1,36.8,0.5
180,0.5,3.6,0.1,47.4,0.5
