## Temperature (C)	delta temp	Power (muW)	delta Pow

26.9	0.05	11.3	0.1
27.4	0.05	11.3	0.1
27.9	0.05	11.3	0.1
28.4	0.05	11.3	0.1
28.9	0.05	11.3	0.1
29.4	0.05	11.3	0.1
29.9	0.05	11.3	0.1
30.4	0.05	11.4	0.1
30.9	0.05	11.3	0.1
31.4	0.05	11.3	0.1
31.9	0.05	11.4	0.1
32.4	0.05	11.4	0.1
32.9	0.05	11.4	0.1
33.4	0.05	11.5	0.1
33.9	0.05	11.4	0.1
34.4	0.05	11.4	0.1
34.8	0.05	11.9	0.1
35	0.05	13.4	0.1
35.2	0.05	16.2	0.1
35.4	0.05	21.8	0.1
35.6	0.05	27.5	0.1
35.8	0.05	34.8	0.1
36	0.05	43	0.1
36.2	0.05	48.2	0.1
36.4	0.05	50.3	0.1
36.6	0.05	47.8	0.1
36.8	0.05	43.2	0.1
37	0.05	33.6	0.1
37.2	0.05	23.5	0.1
37.4	0.05	18.3	0.1
37.6	0.05	14.9	0.1
37.8	0.05	12	0.1
38	0.05	11.6	0.1
38.4	0.05	12	0.1
38.9	0.05	11.5	0.1
39.4	0.05	11.3	0.1
39.9	0.05	11.3	0.1
